PARTNER_APP_ID,DAY,OS_NAME,N_USERS_STARTED_SELFIE_CHECK_FLOW,N_USERS_SHARED_A_PROOF,CUMULATIVE_N_USERS_SHARED_A_PROOF,P_FACE_CAPTURE_COMPLETION
app_4c0f2b7ac8e5f61b994ff642c8670c62,2026-08-18,Android,1,1,1,1.000000
app_4c0f2b7ac8e5f61b994ff642c8670c62,2026-08-19,Android,1,1,1,1.000000
app_4c0f2b7ac8e5f61b994ff642c8670c62,2026-08-24,unknown,1,1,1,1.000000
app_4c0f2b7ac8e5f61b994ff642c8670c62,2026-08-26,Android,1,0,1,1.000000
app_4c0f2b7ac8e5f61b994ff642c8670c62,2026-08-28,Android,1,0,1,\\N
app_4c0f2b7ac8e5f61b994ff642c8670c62,2026-09-02,Android,1,0,1,0.000000
app_4c0f2b7ac8e5f61b994ff642c8670c62,2026-09-03,iOS,1,0,0,\\N
app_5ad2be731addf581206b6b54d9d71cce,2026-08-05,Android,2,0,0,0.000000
app_5ad2be731addf581206b6b54d9d71cce,2026-08-17,Android,1,0,0,0.000000
app_625b0317165fdf3858da47df7ddb1048,2026-08-26,iOS,1,0,0,0.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-03,Android,1,1,1,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-24,iOS,1,1,13,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-25,Android,5,3,63,0.800000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-25,iOS,1,1,14,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-26,Android,4,0,63,0.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-26,iOS,1,1,15,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-27,Android,7,3,65,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-28,Android,11,8,73,0.900000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-28,iOS,1,1,16,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-29,Android,6,2,75,0.571429
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-30,Android,3,2,76,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-30,iOS,1,1,17,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-08-31,Android,2,1,77,0.500000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-09-01,Android,3,0,77,0.500000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-09-01,iOS,1,0,17,\\N
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-09-02,Android,2,2,78,1.000000
app_24450c17b4c11c75a5070bf5a8b1e8ec,2026-09-03,Android,4,0,78,0.666667
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-23,Android,7,3,39,0.800000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-24,Android,6,3,42,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-24,unknown,2,2,3,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-25,Android,2,0,42,0.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-25,unknown,2,2,4,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-26,Android,4,2,44,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-26,unknown,2,2,5,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-27,Android,7,4,48,0.875000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-27,iOS,3,3,16,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-27,unknown,3,3,8,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-28,Android,6,4,52,0.714286
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-28,iOS,1,1,17,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-28,unknown,1,1,9,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-29,Android,9,7,59,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-29,iOS,3,3,20,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-29,unknown,2,2,11,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-10,Android,1,0,0,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-10,iOS,1,1,1,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-11,Android,1,0,0,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-11,iOS,2,2,2,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-12,iOS,2,2,2,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-13,iOS,3,3,3,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-14,iOS,1,1,3,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-15,iOS,1,1,3,1.000000
